#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
chromosome,NZ_AP018808.1,190,255,+,,thrL,EL389_RS00005,WP_012817731.1,21,MULTISPECIES: thr operon leader peptide
chromosome,NZ_AP018808.1,337,2799,+,,thrA,EL389_RS00010,WP_001264699.1,820,MULTISPECIES: bifunctional aspartate kinase/homoserine dehydrogenase I
chromosome,NZ_AP018808.1,2801,3733,+,,thrB,EL389_RS00015,WP_000241648.1,310,MULTISPECIES: homoserine kinase
chromosome,NZ_AP018808.1,3734,5020,+,,thrC,EL389_RS00020,WP_000781063.1,428,MULTISPECIES: threonine synthase
chromosome,NZ_AP018808.1,5234,5530,+,,,EL389_RS00025,WP_000738721.1,98,MULTISPECIES: DUF2502 domain-containing protein
chromosome,NZ_AP018808.1,5683,6459,-,,yaaA,EL389_RS00030,WP_000906203.1,258,MULTISPECIES: peroxide stress protein YaaA
chromosome,NZ_AP018808.1,6529,7959,-,,,EL389_RS00035,WP_001112563.1,476,MULTISPECIES: sodium:alanine symporter family protein
chromosome,NZ_AP018808.1,8238,9191,+,,tal,EL389_RS00040,WP_000130189.1,317,MULTISPECIES: transaldolase
chromosome,NZ_AP018808.1,9306,9893,+,,,EL389_RS00045,WP_001094682.1,195,MULTISPECIES: molybdopterin adenylyltransferase
chromosome,NZ_AP018808.1,9927,10493,-,,satP,EL389_RS00050,WP_000528538.1,188,MULTISPECIES: acetate uptake transporter
chromosome,NZ_AP018808.1,10642,11355,-,,msyB,EL389_RS00055,WP_001102383.1,237,MULTISPECIES: acidic protein MsyB
chromosome,NZ_AP018808.1,11381,11785,-,,,EL389_RS00060,WP_000843559.1,134,MULTISPECIES: DUF2541 family protein
chromosome,NZ_AP018808.1,12162,14078,+,,dnaK,EL389_RS00065,WP_000516135.1,638,MULTISPECIES: molecular chaperone DnaK
chromosome,NZ_AP018808.1,14167,15297,+,,dnaJ,EL389_RS00070,WP_001118464.1,376,MULTISPECIES: molecular chaperone DnaJ
chromosome,NZ_AP018808.1,15401,15610,-,,mokC,EL389_RS00075,WP_000935262.1,69,MULTISPECIES: type I toxin-antitoxin system toxin MokC
chromosome,NZ_AP018808.1,16139,17305,+,,nhaA,EL389_RS00080,WP_000681360.1,388,MULTISPECIES: Na+/H+ antiporter NhaA
chromosome,NZ_AP018808.1,17365,18270,+,,nhaR,EL389_RS00085,WP_000062888.1,301,MULTISPECIES: transcriptional activator NhaR
chromosome,NZ_AP018808.1,18309,19268,-,,,EL389_RS00090,WP_000871667.1,319,MULTISPECIES: hypothetical protein
chromosome,NZ_AP018808.1,20867,22288,-,,espX1,EL389_RS00100,WP_000181245.1,473,type III secretion system effector EspX1
chromosome,NZ_AP018808.1,22772,23035,-,,rpsT,EL389_RS00105,WP_001274021.1,87,MULTISPECIES: 30S ribosomal protein S20
chromosome,NZ_AP018808.1,23138,23356,+,,,EL389_RS00110,WP_001295417.1,72,MULTISPECIES: DUF2575 family protein
chromosome,NZ_AP018808.1,23364,24305,+,,ribF,EL389_RS00115,WP_000767331.1,313,bifunctional riboflavin kinase/FAD synthetase
chromosome,NZ_AP018808.1,24348,27164,+,,ileS,EL389_RS00120,WP_001286856.1,938,MULTISPECIES: isoleucine--tRNA ligase
chromosome,NZ_AP018808.1,27164,27658,+,,,EL389_RS00125,WP_000083369.1,164,MULTISPECIES: signal peptidase II
chromosome,NZ_AP018808.1,27746,28195,+,,fkpB,EL389_RS00130,WP_000004655.1,149,MULTISPECIES: FKBP-type peptidyl-prolyl cis-trans isomerase
chromosome,NZ_AP018808.1,28197,29147,+,,ispH,EL389_RS00135,WP_001166395.1,316,MULTISPECIES: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase
chromosome,NZ_AP018808.1,29213,30127,+,,rihC,EL389_RS00140,WP_001239142.1,304,MULTISPECIES: ribonucleoside hydrolase RihC
chromosome,NZ_AP018808.1,30294,31115,+,,dapB,EL389_RS00145,WP_000543605.1,273,MULTISPECIES: 4-hydroxy-tetrahydrodipicolinate reductase
chromosome,NZ_AP018808.1,31571,32719,+,,,EL389_RS00150,WP_000597260.1,382,MULTISPECIES: glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit
chromosome,NZ_AP018808.1,32737,35958,+,,carB,EL389_RS00155,WP_001126376.1,1073,MULTISPECIES: carbamoyl-phosphate synthase large subunit
chromosome,NZ_AP018808.1,36219,36614,+,,caiF,EL389_RS00160,WP_000333120.1,131,MULTISPECIES: carnitine metabolism transcriptional regulator CaiF
chromosome,NZ_AP018808.1,36700,37290,-,,caiE,EL389_RS00165,WP_000122876.1,196,MULTISPECIES: carnitine operon protein CaiE
chromosome,NZ_AP018808.1,37296,38081,-,,caiD,EL389_RS00170,WP_000004397.1,261,MULTISPECIES: crotonobetainyl-CoA hydratase
chromosome,NZ_AP018808.1,38190,39743,-,,caiC,EL389_RS00175,WP_000351348.1,517,MULTISPECIES: crotonobetaine/carnitine-CoA ligase
chromosome,NZ_AP018808.1,39817,41034,-,,caiB,EL389_RS00180,WP_000349932.1,405,MULTISPECIES: L-carnitine CoA-transferase
chromosome,NZ_AP018808.1,41163,42305,-,,caiA,EL389_RS00185,WP_000347117.1,380,MULTISPECIES: crotonobetainyl-CoA dehydrogenase
chromosome,NZ_AP018808.1,42336,43850,-,,,EL389_RS00190,WP_000787103.1,504,MULTISPECIES: L-carnitine/gamma-butyrobetaine antiport BCCT transporter
chromosome,NZ_AP018808.1,44324,45094,+,,,EL389_RS00195,WP_000692206.1,256,MULTISPECIES: electron transfer flavoprotein FixA
chromosome,NZ_AP018808.1,45109,46050,+,,,EL389_RS00200,WP_001091528.1,313,MULTISPECIES: electron transfer flavoprotein subunit alpha/FixB family protein
chromosome,NZ_AP018808.1,46101,47387,+,,,EL389_RS00205,WP_001287715.1,428,MULTISPECIES: FAD-dependent oxidoreductase
chromosome,NZ_AP018808.1,47384,47671,+,,fixX,EL389_RS00210,WP_000203741.1,95,MULTISPECIES: ferredoxin-like protein FixX
chromosome,NZ_AP018808.1,47730,49061,+,,,EL389_RS00215,WP_001183198.1,443,MULTISPECIES: MFS transporter
chromosome,NZ_AP018808.1,49169,49699,+,,kefF,EL389_RS00220,WP_000600725.1,176,MULTISPECIES: glutathione-regulated potassium-efflux system oxidoreductase KefF
chromosome,NZ_AP018808.1,49692,51554,+,,kefC,EL389_RS00225,WP_000377129.1,620,MULTISPECIES: glutathione-regulated potassium-efflux system protein KefC
chromosome,NZ_AP018808.1,51746,52225,+,,folA,EL389_RS00230,WP_000624375.1,159,MULTISPECIES: type 3 dihydrofolate reductase
chromosome,NZ_AP018808.1,52246,52425,+,,,EL389_RS00235,WP_000998542.1,59,MULTISPECIES: type II toxin-antitoxin system CcdA family antitoxin
chromosome,NZ_AP018808.1,53026,53625,-,,,EL389_RS00245,WP_000796358.1,199,MULTISPECIES: DUF4291 domain-containing protein
chromosome,NZ_AP018808.1,53650,54498,-,,apaH,EL389_RS00250,WP_000257163.1,282,bis(5\\'-nucleosyl)-tetraphosphatase (symmetrical)
chromosome,NZ_AP018808.1,54505,54882,-,,apaG,EL389_RS00255,WP_000610901.1,125,MULTISPECIES: Co2+/Mg2+ efflux protein ApaG
chromosome,NZ_AP018808.1,54885,55706,-,,rsmA,EL389_RS00260,WP_126347086.1,273,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
chromosome,NZ_AP018808.1,55703,56692,-,,,EL389_RS00265,WP_000241259.1,329,MULTISPECIES: 4-hydroxythreonine-4-phosphate dehydrogenase PdxA
chromosome,NZ_AP018808.1,56692,57978,-,,surA,EL389_RS00270,WP_000800457.1,428,MULTISPECIES: peptidylprolyl isomerase SurA
chromosome,NZ_AP018808.1,58031,60385,-,,lptD,EL389_RS00275,WP_000746151.1,784,MULTISPECIES: LPS assembly protein LptD
chromosome,NZ_AP018808.1,60640,61455,+,,djlA,EL389_RS00280,WP_001200573.1,271,MULTISPECIES: co-chaperone DjlA
chromosome,NZ_AP018808.1,61572,62231,-,,rluA,EL389_RS00285,WP_000525182.1,219,MULTISPECIES: bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA
chromosome,NZ_AP018808.1,62243,65149,-,,rapA,EL389_RS00290,WP_001117011.1,968,MULTISPECIES: RNA polymerase-associated protein RapA
chromosome,NZ_AP018808.1,65314,67665,-,,polB,EL389_RS00295,WP_000035672.1,783,MULTISPECIES: DNA polymerase II
