#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP028592.1",379,2268,"+",,"mnmG","C9E72_RS00005","WP_000499793.1",629,"tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG"
"chromosome","NZ_CP028592.1",2332,2955,"+",,"rsmG","C9E72_RS00010","WP_000932839.1",207,"MULTISPECIES: 16S rRNA (guanine(527)-N(7))-methyltransferase RsmG"
"chromosome","NZ_CP028592.1",3572,3952,"+",,"atpI","C9E72_RS00015","WP_000116695.1",126,"MULTISPECIES: F0F1 ATP synthase subunit I"
"chromosome","NZ_CP028592.1",3961,4776,"+",,"atpB","C9E72_RS00020","WP_000135625.1",271,"MULTISPECIES: F0F1 ATP synthase subunit A"
"chromosome","NZ_CP028592.1",4823,5062,"+",,"atpE","C9E72_RS00025","WP_000429386.1",79,"MULTISPECIES: F0F1 ATP synthase subunit C"
"chromosome","NZ_CP028592.1",5124,5594,"+",,"atpF","C9E72_RS00030","WP_001052219.1",156,"MULTISPECIES: F0F1 ATP synthase subunit B"
"chromosome","NZ_CP028592.1",5609,6142,"+",,"atpH","C9E72_RS00035","WP_001288585.1",177,"F0F1 ATP synthase subunit delta"
"chromosome","NZ_CP028592.1",6155,7696,"+",,"atpA","C9E72_RS00040","WP_001176745.1",513,"MULTISPECIES: F0F1 ATP synthase subunit alpha"
"chromosome","NZ_CP028592.1",7747,8610,"+",,"atpG","C9E72_RS00045","WP_000896498.1",287,"MULTISPECIES: F0F1 ATP synthase subunit gamma"
"chromosome","NZ_CP028592.1",8637,10019,"+",,"atpD","C9E72_RS00050","WP_000190506.1",460,"MULTISPECIES: F0F1 ATP synthase subunit beta"
"chromosome","NZ_CP028592.1",10040,10459,"+",,"atpC","C9E72_RS00055","WP_001251965.1",139,"MULTISPECIES: F0F1 ATP synthase subunit epsilon"
"chromosome","NZ_CP028592.1",10811,12181,"+",,"glmU","C9E72_RS00060","WP_000933736.1",456,"MULTISPECIES: bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU"
